Ano,Mes,Fecha,Precio_Bolsa,Aportes_GWh,Volumen_Util_GWh,Demanda_GWh,ONI,CEN_Total,CEN_Hidro,CEN_Termica,Generacion_Hidro_GWh,Generacion_Otros_GWh,IPC
2000,1,2000-01,36.77877994,1900.6598,10115.86598,3354.237365,-1.7,366.13407,244.89307000000002,121.241,2377.973408,950.0420075999999,40.3
2000,2,2000-02,40.26147683,1993.6358,9705.065323,3278.266736,-1.4,344.69313,231.27412999999999,113.419,2267.2582780000002,991.1338479,41.23
2000,3,2000-03,37.63729738,2253.3606,9222.965656,3495.2031979999997,-1.1,370.04207,248.80107,121.241,2493.36938,978.9321379,41.93
2000,4,2000-04,44.29805744,2429.6512,8945.684175,3298.385731,-0.8,359.4941,242.1641,117.33,2383.0609170000002,905.3312443,42.35
2000,5,2000-05,37.29112185,4817.901,10131.14786,3502.127124,-0.7,376.03297000000003,252.66997,123.363,2720.3803989999997,768.0042252000001,42.57
2000,6,2000-06,39.99320276,4889.5626,11020.11033,3367.885957,-0.6,370.8451,247.1131,123.73200000000001,2652.257939,711.0600081,42.56
2000,7,2000-07,42.80114081,4485.1641,11302.05169,3459.362737,-0.6,385.86137,255.38237,130.47899999999998,2838.428918,615.4553183999999,42.55
2000,8,2000-08,49.07017225,4450.3652,11371.62397,3518.519072,-0.5,385.92737,255.44837,130.47899999999998,2646.633763,849.6330886,42.68
2000,9,2000-09,59.53525167,4497.1032,11396.8796,3456.2032600000002,-0.5,376.9881,247.8231,129.165,2521.473709,919.6655911,42.86
2000,10,2000-10,48.42078825,3751.0078,11357.16046,3576.0676479999997,-0.6,390.06277,256.20477,133.858,2594.785773,956.2872768999999,42.93
2000,11,2000-11,45.39779071,3320.5524,11352.02275,3527.6262460000003,-0.7,378.1291,247.9401,130.189,2650.205438,853.6921538999999,43.07
2000,12,2000-12,55.40978918,2174.7536,11131.33119,3644.9586560000002,-0.7,394.78777,256.37477,138.41299999999998,2928.456323,704.5748892000001,43.27
2001,1,2001-01,70.60905914,1519.5884,9612.752479,3512.7539659999998,-0.7,405.41777,264.26477,141.153,2573.168247,925.8387488,43.72
2001,2,2001-02,86.03903274,1160.0055,8456.465371,3300.2853370000003,-0.5,365.05476,238.69076,126.36399999999999,2309.0958600000004,984.5932975,44.55
2001,3,2001-03,70.62147849,1931.9479,7853.274634,3669.375858,-0.4,404.01277000000005,264.26477,139.748,2519.418673,1132.2746849999999,45.21
2001,4,2001-04,67.13775,1984.7562,7446.448133,3498.879215,-0.3,399.6591,264.7791,134.88,2377.128038,1107.6386300000001,45.73
2001,5,2001-05,50.00731183,3696.3799,8381.517819,3666.352696,-0.3,407.51577000000003,268.69777,138.81799999999998,2615.8036850000003,1032.0471949999999,45.92
2001,6,2001-06,43.02415278,4133.6049,9818.788131,3451.935581,-0.1,394.3941,260.0541,134.34,2596.985522,848.3882714,45.94
2001,7,2001-07,39.86760753,3721.9158,10600.0098,3607.611341,-0.1,407.88777000000005,269.06977,138.81799999999998,2843.923213,755.6290376000001,45.99
2001,8,2001-08,38.96436828,3697.6541,10912.57113,3730.510504,-0.1,407.88777000000005,269.06977,138.81799999999998,2951.048917,774.8763369,46.11
2001,9,2001-09,45.31041667,3390.6554,11166.8943,3594.773093,-0.2,394.7601,260.4201,134.34,2826.064577,762.7097464999999,46.28
2001,10,2001-10,46.7949328,2812.7831,10993.20483,3746.3550189999996,-0.3,407.91877,269.10077,138.81799999999998,3006.930357,727.2583718,46.37
2001,11,2001-11,38.96041667,3311.387,11425.67289,3613.553128,-0.3,394.7601,260.4201,134.34,2741.675139,860.2451325,46.42
2001,12,2001-12,35.05717742,3240.2789,12620.362990000001,3757.214411,-0.3,407.93821,269.12021,138.81799999999998,3077.6832219999997,697.2979228999999,46.58
2002,1,2002-01,38.70846774,1719.3251,11307.30155,3671.5911109999997,-0.1,407.96713,269.14912999999996,138.81799999999998,2790.90962,881.3981551,46.95
2002,2,2002-02,56.64971726,1280.0911,9974.073956999999,3462.661941,0.0,368.48044,243.10244,125.37799999999999,2406.139291,1080.56754,47.54
2002,3,2002-03,52.87392473,2094.2001,9026.612734999999,3701.0134780000003,0.1,406.26825,268.78625,137.482,2768.447875,919.8880588,47.87
